"List Name","Internal Name","Title"
"appdata","ID","ID"
"appdata","ContentTypeId","Content Type ID"
"appdata","ContentType","Content Type"
"appdata","Title","Title"
"appdata","Modified","Modified"
"appdata","Created","Created"
"appdata","Author","Created By"
"appdata","Editor","Modified By"
"appdata","_HasCopyDestinations","Has Copy Destinations"
"appdata","_CopySource","Copy Source"
"appdata","owshiddenversion","owshiddenversion"
"appdata","WorkflowVersion","Workflow Version"
"appdata","_UIVersion","UI Version"
"appdata","_UIVersionString","Version"
"appdata","Attachments","Attachments"
"appdata","_ModerationStatus","Approval Status"
"appdata","_ModerationComments","Approver Comments"
"appdata","Edit","Edit"
"appdata","LinkTitleNoMenu","Title"
"appdata","LinkTitle","Title"
"appdata","LinkTitle2","Title"
"appdata","SelectTitle","Select"
"appdata","InstanceID","Instance ID"
"appdata","Order","Order"
"appdata","GUID","GUID"
"appdata","WorkflowInstanceID","Workflow Instance ID"
"appdata","FileRef","URL Path"
"appdata","FileDirRef","Path"
"appdata","Last_x0020_Modified","Modified"
"appdata","Created_x0020_Date","Created"
"appdata","FSObjType","Item Type"
"appdata","SortBehavior","Sort Type"
"appdata","PermMask","Effective Permissions Mask"
"appdata","PrincipalCount","Principal Count"
"appdata","FileLeafRef","Name"
"appdata","UniqueId","Unique Id"
"appdata","ParentUniqueId","Document Parent Identifier"
"appdata","SyncClientId","Client Id"
"appdata","ProgId","ProgId"
"appdata","ScopeId","ScopeId"
"appdata","File_x0020_Type","File Type"
"appdata","HTML_x0020_File_x0020_Type","HTML File Type"
"appdata","_EditMenuTableStart","Edit Menu Table Start"
"appdata","_EditMenuTableStart2","Edit Menu Table Start"
"appdata","_EditMenuTableEnd","Edit Menu Table End"
"appdata","LinkFilenameNoMenu","Name"
"appdata","LinkFilename","Name"
"appdata","LinkFilename2","Name"
"appdata","DocIcon","Type"
"appdata","ServerUrl","Server Relative URL"
"appdata","EncodedAbsUrl","Encoded Absolute URL"
"appdata","BaseName","File Name"
"appdata","MetaInfo","Property Bag"
"appdata","_Level","Level"
"appdata","_IsCurrentVersion","Is Current Version"
"appdata","ItemChildCount","Item Child Count"
"appdata","FolderChildCount","Folder Child Count"
"appdata","Restricted","Restricted"
"appdata","OriginatorId","Originator Id"
"appdata","NoExecute","NoExecute"
"appdata","ContentVersion","Content Version"
"appdata","_ComplianceFlags","Label setting"
"appdata","_ComplianceTag","Retention label"
"appdata","_ComplianceTagWrittenTime","Retention label Applied"
"appdata","_ComplianceTagUserId","Label applied by"
"appdata","_IsRecord","Item is a Record"
"appdata","AccessPolicy","Access Policy"
"appdata","_VirusStatus","VirusStatus"
"appdata","_VirusVendorID","VirusVendorID"
"appdata","_VirusInfo","VirusInfo"
"appdata","_RansomwareAnomalyMetaInfo","RansomwareAnomalyMetaInfo"
"appdata","_ColorHex","Color"
"appdata","_ColorTag","Color Tag"
"appdata","_Emoji","Emoji"
"appdata","_DraftOwnerId","Draft Owner Id"
"appdata","MainLinkSettings","Main Link settings"
"appdata","AppAuthor","App Created By"
"appdata","AppEditor","App Modified By"
"appdata","SMTotalSize","Total Size"
"appdata","SMLastModifiedDate","Last Modified Date"
"appdata","SMTotalFileStreamSize","Total File Stream Size"
"appdata","SMTotalFileCount","Total File Count"
"appdata","ComplianceAssetId","Compliance Asset Id"
"appfiles","ID","ID"
"appfiles","ContentTypeId","Content Type ID"
"appfiles","ContentType","Content Type"
"appfiles","Created","Created"
"appfiles","Author","Created By"
"appfiles","Modified","Modified"
"appfiles","Editor","Modified By"
"appfiles","_HasCopyDestinations","Has Copy Destinations"
"appfiles","_CopySource","Copy Source"
"appfiles","_ModerationStatus","Approval Status"
"appfiles","_ModerationComments","Approver Comments"
"appfiles","FileRef","URL Path"
"appfiles","FileDirRef","Path"
"appfiles","Last_x0020_Modified","Modified"
"appfiles","Created_x0020_Date","Created"
"appfiles","File_x0020_Size","File Size"
"appfiles","FSObjType","Item Type"
"appfiles","SortBehavior","Sort Type"
"appfiles","PermMask","Effective Permissions Mask"
"appfiles","PrincipalCount","Principal Count"
"appfiles","CheckedOutUserId","ID of the User who has the item Checked Out"
"appfiles","IsCheckedoutToLocal","Is Checked out to local"
"appfiles","CheckoutUser","Checked Out To"
"appfiles","FileLeafRef","Name"
"appfiles","UniqueId","Unique Id"
"appfiles","ParentUniqueId","Document Parent Identifier"
"appfiles","SyncClientId","Client Id"
"appfiles","ProgId","ProgId"
"appfiles","ScopeId","ScopeId"
"appfiles","VirusStatus","Virus Status"
"appfiles","CheckedOutTitle","Checked Out To"
"appfiles","_CheckinComment","Check In Comment"
"appfiles","LinkCheckedOutTitle","Checked Out To"
"appfiles","Modified_x0020_By","Document Modified By"
"appfiles","Created_x0020_By","Document Created By"
"appfiles","File_x0020_Type","File Type"
"appfiles","HTML_x0020_File_x0020_Type","HTML File Type"
"appfiles","_SourceUrl","Source URL"
"appfiles","_SharedFileIndex","Shared File Index"
"appfiles","_EditMenuTableStart","Edit Menu Table Start"
"appfiles","_EditMenuTableStart2","Edit Menu Table Start"
"appfiles","_EditMenuTableEnd","Edit Menu Table End"
"appfiles","LinkFilenameNoMenu","Name"
"appfiles","LinkFilename","Name"
"appfiles","LinkFilename2","Name"
"appfiles","DocIcon","Type"
"appfiles","ServerUrl","Server Relative URL"
"appfiles","EncodedAbsUrl","Encoded Absolute URL"
"appfiles","BaseName","Name"
"appfiles","FileSizeDisplay","File Size"
"appfiles","MetaInfo","Property Bag"
"appfiles","_Level","Level"
"appfiles","_IsCurrentVersion","Is Current Version"
"appfiles","ItemChildCount","Item Child Count"
"appfiles","FolderChildCount","Folder Child Count"
"appfiles","Restricted","Restricted"
"appfiles","OriginatorId","Originator Id"
"appfiles","NoExecute","NoExecute"
"appfiles","ContentVersion","Content Version"
"appfiles","_ComplianceFlags","Label setting"
"appfiles","_ComplianceTag","Retention label"
"appfiles","_ComplianceTagWrittenTime","Retention label Applied"
"appfiles","_ComplianceTagUserId","Label applied by"
"appfiles","_IsRecord","Item is a Record"
"appfiles","BSN","BLOB Sequence Number"
"appfiles","_ListSchemaVersion","List Schema Version"
"appfiles","_Dirty","Dirty"
"appfiles","_Parsable","Parsable"
"appfiles","_StubFile","StubFile"
"appfiles","_HasEncryptedContent","HasEncryptedContent"
"appfiles","_HasUserDefinedProtection","HasUserDefinedProtection"
"appfiles","AccessPolicy","Access Policy"
"appfiles","_VirusStatus","VirusStatus"
"appfiles","_VirusVendorID","VirusVendorID"
"appfiles","_VirusInfo","VirusInfo"
"appfiles","_RansomwareAnomalyMetaInfo","RansomwareAnomalyMetaInfo"
"appfiles","_CommentFlags","Comment settings"
"appfiles","_CommentCount","Comment count"
"appfiles","_LikeCount","Like count"
"appfiles","_RmsTemplateId","Rights Management Template Id"
"appfiles","_IpLabelId","Sensitivity Label Id"
"appfiles","_DisplayName","Sensitivity"
"appfiles","_IpLabelAssignmentMethod","Sensitivity Label Assignment Method"
